id,station_id,city_slug,district_slug,address_en,title,provider,external_id,sensor_type,latitude,longitude,altitude,first_measurement_time,last_measurement_time,is_suspicious
334,109,yerevan,arabkir,"Nairi Zaryan street","Nairi Zaryan street (ArmAqi.org)",sensor_community,91358,SDS011,40.203324,44.517009,1167.30,"2025-01-19 18:00:00","2025-09-16 12:12:13",false
335,109,yerevan,arabkir,"Nairi Zaryan street","Nairi Zaryan street (ArmAqi.org)",sensor_community,91359,BME280,40.203324,44.517009,1167.30,"2025-01-19 18:00:00","2025-09-16 12:12:13",false
338,127,yerevan,kentron,"Tigran Mets avenue","проспект Тигран Мец",sensor_community,91423,SDS011,40.175247,44.513577,980.90,"2025-01-23 16:08:26","2025-03-24 12:57:44",false
339,127,yerevan,kentron,"Tigran Mets avenue","проспект Тигран Мец",sensor_community,91424,BME280,40.175247,44.513577,980.90,"2025-01-23 16:08:27","2025-03-24 12:57:44",false
340,128,yerevan,avan,"David Malyan street","David Malyan st (Armaqi.org)",sensor_community,91434,SDS011,40.208872,44.564870,1247.30,"2025-01-23 21:35:46","2025-09-16 12:12:34",false
341,129,yerevan,erebuni,"27th street of Nor Aresh","ք. Երևան, Նոր Արեշի 26-րդ փ 45 շենք",yerevan_gis,DGZII4319,CLARITY_NODE,40.139712,44.526841,,"2025-01-24 12:00:00","2025-09-15 19:00:00",false
342,130,yerevan,kentron,"Arshakunyats avenue","ք. Երևան, Արշակունյաց 1 նրբ. 36  հողամաս",yerevan_gis,DMAVX0837,CLARITY_NODE,40.166494,44.503233,,"2025-01-24 13:00:00","2025-09-15 19:00:00",false
343,128,yerevan,avan,"David Malyan street","David Malyan st (Armaqi.org)",sensor_community,91435,BME280,40.208872,44.564870,1247.30,"2025-01-24 20:30:25","2025-09-16 12:12:34",false
344,131,yerevan,erebuni,"Erebuni street","Erebuni st (ArmAqi.org)",sensor_community,91480,SDS011,40.141538,44.519747,973.30,"2025-01-25 12:31:31","2025-03-13 19:13:48",false
345,131,yerevan,erebuni,"Erebuni street","Erebuni st (ArmAqi.org)",sensor_community,91481,BME280,40.141538,44.519747,973.30,"2025-01-25 12:31:31","2025-03-13 19:13:48",false
